Tweet,Label
making some lunch,Not Suicide post
You want his money.,Not Suicide post
that crap took me forever to put together. i'm going to go sleep for DAYS,Potential Suicide post
Hey Jer! Since when did you start twittering?,Not Suicide post
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post
"Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post
u've got a list for fellow ? You gonna have to share that one Amigo!,Not Suicide post
"Just because shane made a Series on you Doesnt mean people take you seriously, y",Potential Suicide post
time for some warsaw beer garden chilling,Not Suicide post
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post
is on the go...,Not Suicide post
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny for¦,Potential Suicide post
Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post
Goooooood hwo're you?,Not Suicide post
",,RT : I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone t¦",Potential Suicide post
Focus on opportunities more than you focus on money.,Not Suicide post
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE,Potential Suicide post
Im at the point of the semester where Im so tired of everything. I just want to roll over and die.,Potential Suicide post
",ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ a¦",Potential Suicide post
"RT : When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post
"enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post
Bloodstain on the carpet? Ready to gooo!,Not Suicide post
Really fuckin want this portion of my life to be over.,Potential Suicide post
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food : Or I'll seriously eat you up!,Not Suicide post
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post
I think you'll do whatever you want.,Not Suicide post
that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better for¦,Potential Suicide post
"No, just one shortly before the soap awards judging starts....",Not Suicide post
Just had a conversation with  about how 'dependent' we seem to be of internet and mobile phones nowadays,Not Suicide post
"Oh yes, I was reading that one",Not Suicide post
My life is so miserable and it's not getting better.,Potential Suicide post
"you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post
She is not tired.,Not Suicide post
RT : Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers a¦",Potential Suicide post
I want money,Not Suicide post
"how was it, so I know what to expect?",Not Suicide post
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post
Brushin' mah teef. Secularly.,Not Suicide post
i'll be in london today. Wave if you see me,Not Suicide post
I am looking for the berocca then all will be well,Not Suicide post
Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post
i wanna die. i dont deserve a piece of anything. i dont belong anywhere. im sick and tired of everything. the sa¦,Potential Suicide post
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body and¦,Potential Suicide post
I luv your blog too! Fashion is &lt;3,Not Suicide post
Sorry for your loss. This post gave me goosebumps because although I havent thought of suicide your d¦,Potential Suicide post
"Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post
"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post
The one we were looking out for?,Not Suicide post
he want to kill her.,Not Suicide post
u - understand what the fuck im doing wrong with my life,Potential Suicide post
"AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes!,Not Suicide post
